LoadTap_eighths,LoadRatio,LoadPower_VA,LoadResistance_ohm,Brightness,Iref_Arms,Ki,Peak_Arms,Overshoot_A,Overshoot_pct,Final_Arms,FinalError_A,SettlingTime_s,MaxContinuous120Duration_s,MeetsFAASettling,MeetsIECSettling,MeetsFAATransient120Duration,MeetsIECStepSurgeLimit,Pass,Score,Error
4,0.5,1221,28.030303030303,B2,3.4,310,3.66211125444904,0.262111254449043,7.7091545426189,3.48824604553817,0.0882460455381695,0.70945,0,1,0,1,1,1,8.40163581330451,
4,0.5,1221,28.030303030303,B2,3.4,320,3.66211221385524,0.262112213855244,7.70918276044835,3.48824742076139,0.0882474207613893,0.82945,0,1,0,1,1,1,8.42568434797116,
4,0.5,1221,28.030303030303,B3,4.1,40,4.02788698900002,0,0,4.02788697933983,-0.0721130206601668,0.5891,0,1,0,1,1,1,0.11782,
4,0.5,1221,28.030303030303,B3,4.1,50,4.21963578240058,0.119635782400579,2.91794591220924,4.0278868911865,-0.0721131088135003,0.98835,0,1,0,1,1,1,1.23781803827312,
4,0.5,1221,28.030303030303,B3,4.1,60,4.21963640444456,0.119636404444557,2.91796108401358,4.21930030267811,0.119300302678113,NaN,0,0,0,1,1,0,114.900239979531,
4,0.5,1221,28.030303030303,B3,4.1,70,4.21964078358428,0.119640783584283,2.91806789229959,4.02788762920703,-0.0721123707929694,0.97835,0,1,0,1,1,1,1.23607053706015,
4,0.5,1221,28.030303030303,B3,4.1,80,4.21964006805668,0.119640068056682,2.91805044040689,4.21929402749563,0.119294027495635,NaN,0,0,0,1,1,0,114.899169910769,
4,0.5,1221,28.030303030303,B3,4.1,90,4.21963736368467,0.119637363684673,2.91798448011399,4.02788690502456,-0.0721130949754443,0.98835,0,1,0,1,1,1,1.23789787383595,
4,0.5,1221,28.030303030303,B3,4.1,100,4.21964097746361,0.119640977463613,2.91807262106372,4.21962820149792,0.119628201497918,NaN,0,0,0,1,1,0,114.966050625185,
4,0.5,1221,28.030303030303,B3,4.1,110,4.21963940673352,0.119639406733523,2.91803431057372,4.02788704857639,-0.0721129514236143,0.96835,0,1,0,1,1,1,1.23400102288761,
